ID	CONCEPT	GLOSS	COGIDS	DOCULECT	SOURCE_ORIGINAL	SOURCE_ORTHOGRAPHIC	TOKENS_SOURCE	TOKENS	COMMENT	SOURCE
140	COLD	frio	129	AbasoloValleMixtec	vítsi	vítsi	β i ⁵ ts i ³	β i ⁵ ts i ³	NA	galindo-sanchez2009vocabulario
141	HOT	caliente	357	AbasoloValleMixtec	i'ni	i'ni	i ³ ʔ n i ³	i ³ ʔ n i ³	NA	galindo-sanchez2009vocabulario
142	BIG (SINGULAR)	grande.SG	44	AbasoloValleMixtec	ka'nu	ka'nu	k a ³ ʔ n u ³	k a ³ ʔ n u ³	NA	galindo-sanchez2009vocabulario
143	SMALL (SINGULAR)	pequeño.SG	673	AbasoloValleMixtec	luu	luu	l u ³ u ³	l u ³ u ³	NA	galindo-sanchez2009vocabulario
144	LONG (SINGULAR)	largo/a.SG	406	AbasoloValleMixtec	kani	kani	k a ³ n i ³	k a ³ n i ³	NA	galindo-sanchez2009vocabulario
145	GOOD	bueno/a	286	AbasoloValleMixtec	va'a	va'a	β a ³ ʔ a ³	β a ³ ʔ a ³	NA	galindo-sanchez2009vocabulario
146	SWEET	dulce	735	AbasoloValleMixtec	vixi	vixi	β i ³ ʃ i ³	β i ³ ʃ i ³	NA	galindo-sanchez2009vocabulario
147	SALTY	salado	628	AbasoloValleMixtec	u'a	u'a	u ³ ʔ a ³	u ³ ʔ a ³	NA	galindo-sanchez2009vocabulario
148	BITTER	amargo	51	AbasoloValleMixtec	uva	uva	u ³ β a ³	u ³ β a ³	NA	galindo-sanchez2009vocabulario
149	TASTY	sabroso	755	AbasoloValleMixtec	ási	ási	a ⁵ s i ³	a ⁵ s i ³	NA	galindo-sanchez2009vocabulario
150	WIDE	ancho	845	AbasoloValleMixtec	ntika	ntika	ⁿd i ³ k a ³	ⁿd i ³ k a ³	NA	galindo-sanchez2009vocabulario
151	NEW	nuevo/a	476	AbasoloValleMixtec	tsaà	tsaà	ts a ³ a ¹	ts a ³ a ¹	NA	galindo-sanchez2009vocabulario
152	UGLY	feo	812	AbasoloValleMixtec	kíni	kíni	k i ⁵ n i ³	k i ⁵ n i ³	NA	galindo-sanchez2009vocabulario
153	JEALOUS	celoso	374	AbasoloValleMixtec	kuiñu	kuiñu	kʷ i ³ ɲ u ³	kʷ i ³ ɲ u ³	NA	galindo-sanchez2009vocabulario
154	NEAR	cerca	459	AbasoloValleMixtec	yachi	yachi	ʒ a ³ tʃ i ³	ʒ a ³ tʃ i ³	NA	galindo-sanchez2009vocabulario
155	HEAVY	pesado	326	AbasoloValleMixtec	vee	vee	β e ³ e ³	β e ³ e ³	NA	galindo-sanchez2009vocabulario
156	RAW	crudo	591	AbasoloValleMixtec	i'i	i'i	i ³ ʔ i ³	i ³ ʔ i ³	NA	galindo-sanchez2009vocabulario
